"Preno?itvene zmogljivosti po: STATISTI?NA REGIJA, SKUPINE NASTANITVENIH"
"OBJEKTOV, MESEC , MERITVE"

" ";" ";"2014M12";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"?tevilo sob";"Zmogljivosti - le?i??a - SKUPAJ";"Zmogljivosti - le?i??a - stalna";"Prihodi turistov - SKUPAJ";"Prihodi turistov - doma?i";"Prihodi turistov - tuji";"Preno?itve turistov - SKUPAJ";"Preno?itve turistov - doma?i";"Preno?itve turistov - tuji"
"SLOVENIJA"
" ";"Skupine nastanitvenih objektov - SKUPAJ";30768;81835;74582;208516;79534;128982;512060;221535;290525
" ";"Hoteli in podobni nastanitveni objekti";20426;45109;40665;166081;52413;113668;400038;146403;253635
" ";"Kampi";2537;8212;7952;7865;6256;1609;24342;19892;4450
" ";"Ostali nastanitveni objekti";7805;28514;25965;34570;20865;13705;87680;55240;32440
"Pomurska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";2787;6397;5695;20529;13544;6985;63481;39475;24006
" ";"Hoteli in podobni nastanitveni objekti";1671;3334;3070;15477;9413;6064;47594;26422;21172
" ";"Kampi";480;1100;960;1661;1163;498;5694;3994;1700
" ";"Ostali nastanitveni objekti";636;1963;1665;3391;2968;423;10193;9059;1134
"Podravska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";2727;7169;6392;14615;5408;9207;31901;12363;19538
" ";"Hoteli in podobni nastanitveni objekti";1647;3846;3483;11626;3307;8319;24258;6828;17430
" ";"Kampi";228;600;480;z;z;z;z;z;z
" ";"Ostali nastanitveni objekti";852;2723;2429;z;z;z;z;z;z
"Koro?ka"
" ";"Skupine nastanitvenih objektov - SKUPAJ";502;1657;1503;2537;1721;816;6952;4568;2384
" ";"Hoteli in podobni nastanitveni objekti";248;614;586;1275;784;491;2827;1596;1231
" ";"Kampi";-;-;-;-;-;-;-;-;-
" ";"Ostali nastanitveni objekti";254;1043;917;1262;937;325;4125;2972;1153
"Savinjska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";4419;10537;9927;31741;17002;14739;95684;53590;42094
" ";"Hoteli in podobni nastanitveni objekti";3529;7317;6893;26116;12488;13628;79309;40659;38650
" ";"Kampi";145;580;580;860;838;22;2986;2829;157
" ";"Ostali nastanitveni objekti";745;2640;2454;4765;3676;1089;13389;10102;3287
"Zasavska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";116;386;365;99;51;48;226;55;171
" ";"Hoteli in podobni nastanitveni objekti";56;134;118;86;46;40;143;50;93
" ";"Kampi";-;-;-;-;-;-;-;-;-
" ";"Ostali nastanitveni objekti";60;252;247;13;5;8;83;5;78
"Posavska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";1691;5177;4798;13522;7634;5888;36275;21961;14314
" ";"Hoteli in podobni nastanitveni objekti";773;1889;1569;7806;3303;4503;19703;8769;10934
" ";"Kampi";700;2400;2400;z;z;z;z;z;z
" ";"Ostali nastanitveni objekti";218;888;829;z;z;z;z;z;z
"Jugovzhodna Slovenija"
" ";"Skupine nastanitvenih objektov - SKUPAJ";1161;3025;2811;6369;3281;3088;22487;13867;8620
" ";"Hoteli in podobni nastanitveni objekti";848;1757;1561;5073;2186;2887;19084;11004;8080
" ";"Kampi";32;128;128;z;z;z;z;z;z
" ";"Ostali nastanitveni objekti";281;1140;1122;z;z;z;z;z;z
"Osrednjeslovenska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";3987;9278;8553;43030;5371;37659;73789;8585;65204
" ";"Hoteli in podobni nastanitveni objekti";3004;6226;5614;35706;3612;32094;59305;4978;54327
" ";"Kampi";214;642;642;z;z;z;z;z;z
" ";"Ostali nastanitveni objekti";769;2410;2297;z;z;z;z;z;z
"Gorenjska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";5885;17972;16284;32326;10502;21824;77809;24483;53326
" ";"Hoteli in podobni nastanitveni objekti";3280;7706;6880;23743;5160;18583;55695;11050;44645
" ";"Kampi";546;2094;2094;209;119;90;445;229;216
" ";"Ostali nastanitveni objekti";2059;8172;7310;8374;5223;3151;21669;13204;8465
"Primorsko-notranjska"
" ";"Skupine nastanitvenih objektov - SKUPAJ";266;846;732;1215;272;943;1863;554;1309
" ";"Hoteli in podobni nastanitveni objekti";177;543;460;923;80;843;1259;110;1149
" ";"Kampi";-;-;-;-;-;-;-;-;-
" ";"Ostali nastanitveni objekti";89;303;272;292;192;100;604;444;160
"Gori?ka"
" ";"Skupine nastanitvenih objektov - SKUPAJ";1676;4464;4144;11105;2048;9057;20685;4325;16360
" ";"Hoteli in podobni nastanitveni objekti";1025;2197;2057;9849;1188;8661;17124;2000;15124
" ";"Kampi";95;280;280;4;1;3;14;2;12
" ";"Ostali nastanitveni objekti";556;1987;1807;1252;859;393;3547;2323;1224
"Obalno-kra?ka"
" ";"Skupine nastanitvenih objektov - SKUPAJ";5551;14927;13378;31428;12700;18728;80908;37709;43199
" ";"Hoteli in podobni nastanitveni objekti";4168;9546;8374;28401;10846;17555;73737;32937;40800
" ";"Kampi";97;388;388;z;z;z;z;z;z
" ";"Ostali nastanitveni objekti";1286;4993;4616;z;z;z;z;z;z
