Prenoèitvene zmogljivosti po: VRSTE NASTANITVENIH OBJEKTOV, MESEC ,;;;;
MERITVE;;;;
;;;;
 ;2015M08; ; ; 
 ;Prihodi turistov - domaèi;Prihodi turistov - tuji;Prenoèitve turistov - domaèi;Prenoèitve turistov - tuji
Hoteli;58589;241131;209032;646353
Moteli;118;1578;196;1870
Penzioni;2728;13498;6884;27620
Gostišèa;1996;9972;3978;19337
Prenoèišèa;1139;3960;2368;7898
Apartmajska in poèitniška naselja;13332;12519;52400;52387
Kampi;35508;92807;133689;286206
Turistiène kmetije z nastanitvijo;2323;7603;5099;19217
Mladinski hoteli;3362;23998;6989;42886
Zasebne sobe, apartmaji, hiše;6910;34730;22845;99400
Planinski domovi in koèe;15417;11442;17066;12661
Delavski poèit. domovi in apartmaji, otroški in mladinski poèitniški domovi;12120;1809;56315;6457
Drugi nastanitveni objekti;703;1480;1788;4011
Zaèasne nastanitvene zmogljivosti in marine;3709;16098;12861;31914
