"Povpreèni dnevni izdatki po: MESEC, GLAVNI RAZLOG , DRŽAVA PREBIVALIŠÈA"

"Glavna sezona"
" ";"Poèitnice, sprostitev, rekreacija"
" ";" ";"Avstrija";83.58
" ";" ";"Italija";109.86M
" ";" ";"Nemèija";67.70
" ";" ";"Druge evropske države";88.09
" ";" ";"Neevropske države";156.45
" ";"Obisk sorodnikov ali prijateljev"
" ";" ";"Avstrija";N
" ";" ";"Italija";123.46M
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";109.99M
" ";" ";"Neevropske države";N
" ";"Skrb za zdravje, dobro poèutje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Izobraževanje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Kultura"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Religija/romanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";-
" ";" ";"Neevropske države";-
" ";"Nakupovanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Poslovni sestanki"
" ";" ";"Avstrija";137.07M
" ";" ";"Italija";131.20
" ";" ";"Nemèija";149.65M
" ";" ";"Druge evropske države";149.03
" ";" ";"Neevropske države";118.98
" ";"Konference, seminarji, sejmi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";110.75M
" ";" ";"Neevropske države";N
" ";"Tranzit"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";70.51M
" ";" ";"Druge evropske države";66.69
" ";" ";"Neevropske države";N
" ";"Drugi razlogi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
"April"
" ";"Poèitnice, sprostitev, rekreacija"
" ";" ";"Avstrija";109.68M
" ";" ";"Italija";168.99M
" ";" ";"Nemèija";120.94M
" ";" ";"Druge evropske države";109.06M
" ";" ";"Neevropske države";184.39M
" ";"Obisk sorodnikov ali prijateljev"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Skrb za zdravje, dobro poèutje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Izobraževanje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Kultura"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Religija/romanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Nakupovanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";-
" ";" ";"Neevropske države";-
" ";"Poslovni sestanki"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";106.07M
" ";" ";"Neevropske države";N
" ";"Konference, seminarji, sejmi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";130.97M
" ";" ";"Neevropske države";-
" ";"Tranzit"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Drugi razlogi"
" ";" ";"Avstrija";N
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
"Maj"
" ";"Poèitnice, sprostitev, rekreacija"
" ";" ";"Avstrija";85.98
" ";" ";"Italija";N
" ";" ";"Nemèija";112.66M
" ";" ";"Druge evropske države";120.73
" ";" ";"Neevropske države";155.77M
" ";"Obisk sorodnikov ali prijateljev"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Skrb za zdravje, dobro poèutje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";385.78M
" ";" ";"Neevropske države";-
" ";"Izobraževanje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Kultura"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Religija/romanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";-
" ";" ";"Neevropske države";-
" ";"Nakupovanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Poslovni sestanki"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";114.26
" ";" ";"Neevropske države";N
" ";"Konference, seminarji, sejmi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";97.69M
" ";" ";"Neevropske države";N
" ";"Tranzit"
" ";" ";"Avstrija";N
" ";" ";"Italija";-
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Drugi razlogi"
