Prenoèitvene zmogljivosti po: OBÈINE, MESEC , MERITVE;;;;
;;;;
 ;2015M08; ; ; 
 ;Prihodi turistov - domaèi;Prihodi turistov - tuji;Prenoèitve turistov - domaèi;Prenoèitve turistov - tuji
SLOVENIJA;157954;472625;531510;1258217
Ajdovšèina;271;765;547;1326
Ankaran/Ancarano;7280;5881;37820;27847
Apaèe;;;;
Beltinci;;;;
Benedikt;19;90;55;189
Bistrica ob Sotli;;;;
Bled;2047;48071;4757;127445
Bloke;22;97;81;201
Bohinj;11484;24805;28412;72809
Borovnica;;;;
Bovec;7225;19800;14100;50810
Braslovèe;;;;
Brda;555;2091;849;4474
Brezovica;70;114;564;321
Brežice;12098;16669;46196;74429
Cankova;;;;
Celje;639;2121;1332;4155
Cerklje na Gorenjskem;427;3781;891;6084
Cerknica;61;146;322;362
Cerkno;547;550;1419;1878
Cerkvenjak;;;;
Cirkulane;;;;
Èrenšovci;;;;
Èrna na Koroškem;137;52;137;57
Èrnomelj;1092;865;2592;2343
Destrnik;;;;
Divaèa;69;2547;132;3244
Dobje;;;;
Dobrepolje;;;;
Dobrna;1616;1061;7481;4450
Dobrova - Polhov Gradec;;;;
Dobrovnik/Dobronak;;;;
Dol pri Ljubljani;;;;
Dolenjske Toplice;1738;1609;9939;5581
Domžale;35;1666;89;3455
Dornava;;;;
Dravograd;156;413;612;933
Duplek;;;;
Gorenja vas - Poljane;71;238;179;850
Gorišnica;;;;
Gorje;412;633;1305;1186
Gornja Radgona;40;81;111;228
Gornji Grad;;;;
Gornji Petrovci;;;;
Grad;;;;
Grosuplje;51;2209;54;2430
Hajdina;43;790;106;989
Hoèe - Slivnica;375;469;1248;839
Hodoš/Hodos;;;;
Horjul;;;;
Hrastnik;23;2;41;2
Hrpelje - Kozina;169;2514;238;3172
Idrija;245;405;836;735
Ig;;;;
Ilirska Bistrica;199;610;338;908
Ivanèna Gorica;31;49;102;121
Izola/Isola;8902;9447;40729;35072
Jesenice;159;514;363;836
Jezersko;575;656;1181;1977
Juršinci;;;;
Kamnik;1266;2467;2489;9103
Kanal;33;218;35;272
Kidrièevo;;;;
Kobarid;4471;7929;10492;22417
Kobilje;;;;
Koèevje;860;1034;2745;3268
Komen;41;144;46;313
Komenda;;;;
Koper/Capodistria;3818;5932;11094;15576
Kostanjevica na Krki;64;119;96;213
Kostel;226;155;734;385
Kozje;;;;
Kranj;548;5639;1371;8778
Kranjska Gora;11472;22492;26950;60264
Križevci;;;;
Krško;178;266;293;659
Kungota;;;;
Kuzma;;;;
Laško;2756;3636;12561;17287
Lenart;;;;
Lendava/Lendva;2775;1509;9713;4900
Litija;;;;
Ljubljana;2139;100298;4019;175546
Ljubno;324;470;474;1454
Ljutomer;1346;331;3858;870
Log - Dragomer;;;;
Logatec;114;396;463;790
Loška dolina;;;;
Loški Potok;;;;
Lovrenc na Pohorju;;;;
Luèe;521;957;1262;2822
Lukovica;;;;
Majšperk;;;;
Makole;;;;
Maribor;1496;19740;3258;33929
Markovci;;;;
Medvode;65;2364;124;4342
Mengeš;;;;
Metlika;1508;616;7313;1392
Mežica;;;;
Miklavž na Dravskem polju;;;;
Miren - Kostanjevica;;;;
Mirna;;;;
Mirna Peè;;;;
Mislinja;920;144;2801;608
Mokronog - Trebelno;;;;
Moravèe;;;;
Moravske Toplice;9680;6232;37186;23070
Mozirje;514;87;1181;294
Murska Sobota;678;519;2128;1790
Muta;;;;
Naklo;150;1471;230;2671
Nazarje;;;;
Nova Gorica;510;9532;1185;18504
Novo mesto;722;3897;1784;8500
Odranci;;;;
Oplotnica;;;;
Ormož;66;113;129;173
Osilnica;;;;
Pesnica;15;13;55;30
