"Tuji turisti po: MESEC, GLAVNI RAZLOG, DRŽAVA PREBIVALIŠÈA , MERITVE"

" ";" ";" ";"Število turistov"
"Glavna sezona"
" ";"Poèitnice, sprostitev, rekreacija"
" ";" ";"Avstrija";35106
" ";" ";"Italija";79595
" ";" ";"Nemèija";51984
" ";" ";"Druge evropske države";233323
" ";" ";"Neevropske države";71046
" ";"Obisk sorodnikov ali prijateljev"
" ";" ";"Avstrija";N
" ";" ";"Italija";3223
" ";" ";"Nemèija";3742
" ";" ";"Druge evropske države";9564
" ";" ";"Neevropske države";N
" ";"Skrb za zdravje, dobro poèutje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Izobraževanje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Kultura"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Religija/romanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";-
" ";" ";"Neevropske države";-
" ";"Nakupovanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Poslovni sestanki"
" ";" ";"Avstrija";3671
" ";" ";"Italija";5054
" ";" ";"Nemèija";7635
" ";" ";"Druge evropske države";19909
" ";" ";"Neevropske države";5956
" ";"Konference, seminarji, sejmi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";5314
" ";" ";"Neevropske države";N
" ";"Tranzit"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";5251
" ";" ";"Druge evropske države";14285
" ";" ";"Neevropske države";N
" ";"Drugi razlogi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
"April"
" ";"Poèitnice, sprostitev, rekreacija"
" ";" ";"Avstrija";14465
" ";" ";"Italija";31065
" ";" ";"Nemèija";6426
" ";" ";"Druge evropske države";23258
" ";" ";"Neevropske države";16967
" ";"Obisk sorodnikov ali prijateljev"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Skrb za zdravje, dobro poèutje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Izobraževanje"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Kultura"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
" ";"Religija/romanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Nakupovanje"
" ";" ";"Avstrija";-
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";-
" ";" ";"Neevropske države";-
" ";"Poslovni sestanki"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";13346
" ";" ";"Neevropske države";N
" ";"Konference, seminarji, sejmi"
" ";" ";"Avstrija";N
" ";" ";"Italija";N
" ";" ";"Nemèija";N
" ";" ";"Druge evropske države";5176
" ";" ";"Neevropske države";-
" ";"Tranzit"
" ";" ";"Avstrija";-
" ";" ";"Italija";N
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";-
" ";"Drugi razlogi"
" ";" ";"Avstrija";N
" ";" ";"Italija";-
" ";" ";"Nemèija";-
" ";" ";"Druge evropske države";N
" ";" ";"Neevropske države";N
"Maj"
" ";"Poèitnice, sprostitev, rekreacija"
